,Station,Date ∇,Ave. T.(ºC),Max. T.(ºC),Min. T.(ºC),Prec.(mm),S.L.Press./Gheopot.,Wind dir,Wind sp.(Km/h),Cloud c.,Snow depth(cm),country
226,BANDARAWELA,11/01/2013,17.7,19.0,16.4,8.1,1522 m(850 Hpa),330º(NW),6,8/8,,SRI LANKA
227,BADULLA,11/01/2013,19.8,21.7,17.8,5.7,-,50º(NE),6,8/8,,SRI LANKA
228,RATNAPURA,11/01/2013,24.5,26.8,22.2,0.8,1010.6 Hpa,180º(S),0,8/8,,SRI LANKA
229,GALLE,11/01/2013,26.4,29.3,23.5,1.3,1011.4 Hpa,72º(E),6,6/8,,SRI LANKA
230,HAMBANTOTA,11/01/2013,25.7,27.3,24.1,15.6,1010.4 Hpa,23º(NE),13,6/8,,SRI LANKA
231,KANKASANTURAI,12/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
232,JAFFNA,12/01/2013,25.1,29.3,21.0,0.0,1014.0 Hpa,-,-,2/8,,SRI LANKA
233,MULLAITTIVU,12/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
234,MANNAR,12/01/2013,26.3,29.2,23.4,0.0,1013.2 Hpa,51º(NE),9,1/8,,SRI LANKA
235,VAVUNIYA,12/01/2013,25.6,29.9,21.4,0.0,1013.2 Hpa,42º(NE),7,3/8,,SRI LANKA
236,TRINCOMALEE,12/01/2013,26.1,27.5,24.7,0.0,-,14º(N),4,6/8,,SRI LANKA
237,ANURADHAPURA,12/01/2013,26.0,29.0,23.0,0.0,1013.4 Hpa,320º(NW),2,4/8,,SRI LANKA
238,MAHA ILLUPPALLAMA,12/01/2013,25.2,27.8,22.7,0.0,1013.2 Hpa,54º(NE),7,7/8,,SRI LANKA
239,PUTTALAM,12/01/2013,25.8,29.3,22.3,0.0,1012.2 Hpa,48º(NE),4,3/8,,SRI LANKA
240,BATTICALOA,12/01/2013,27.1,28.3,26.0,0.0,1012.7 Hpa,9º(N),9,6/8,,SRI LANKA
241,KURUNEGALA,12/01/2013,25.2,29.2,21.3,0.0,1011.5 Hpa,40º(NE),6,5/8,,SRI LANKA
242,KANDY,12/01/2013,23.2,26.5,19.9,0.0,1012.9 Hpa,95º(E),1,6/8,,SRI LANKA
243,COLOMBO,12/01/2013,27.2,31.2,23.3,0.0,1011.4 Hpa,29º(NE),8,4/8,,SRI LANKA
244,RATMALANA,12/01/2013,27.2,31.9,22.6,0.0,1011.4 Hpa,28º(NE),17,4/8,,SRI LANKA
245,NUWARA ELIYA,12/01/2013,16.0,18.5,13.5,Tr,1506 m(850 Hpa),101º(E),2,6/8,,SRI LANKA
246,POTTUVIL,12/01/2013,26.7,28.6,24.8,-,1011.9 Hpa,346º(N),9,7/8,,SRI LANKA
247,BANDARAWELA,12/01/2013,17.9,19.5,16.2,0.6,1532 m(850 Hpa),300º(NW),5,8/8,,SRI LANKA
248,BADULLA,12/01/2013,20.0,21.3,18.7,0.3,-,50º(NE),3,8/8,,SRI LANKA
249,RATNAPURA,12/01/2013,27.1,31.8,22.5,0.0,1011.1 Hpa,293º(NW),3,6/8,,SRI LANKA
250,GALLE,12/01/2013,26.6,29.3,23.8,0.0,1011.9 Hpa,94º(E),6,6/8,,SRI LANKA
251,HAMBANTOTA,12/01/2013,27.8,31.7,23.9,0.0,1010.7 Hpa,31º(NE),10,7/8,,SRI LANKA
252,KANKASANTURAI,13/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
253,JAFFNA,13/01/2013,23.5,28.8,18.2,0.0,1013.3 Hpa,-,-,6/8,,SRI LANKA
254,MULLAITTIVU,13/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
255,MANNAR,13/01/2013,25.8,28.3,23.2,0.0,1012.3 Hpa,46º(NE),12,5/8,,SRI LANKA
256,VAVUNIYA,13/01/2013,23.5,28.4,18.6,0.0,1012.7 Hpa,52º(NE),4,5/8,,SRI LANKA
257,TRINCOMALEE,13/01/2013,25.8,27.5,24.0,0.0,-,43º(NE),7,5/8,,SRI LANKA
258,ANURADHAPURA,13/01/2013,24.1,27.9,20.3,0.0,1012.2 Hpa,308º(NW),2,4/8,,SRI LANKA
259,MAHA ILLUPPALLAMA,13/01/2013,23.5,27.8,19.2,0.0,1012.5 Hpa,54º(NE),6,6/8,,SRI LANKA
260,PUTTALAM,13/01/2013,23.6,27.8,19.4,0.0,1011.3 Hpa,36º(NE),4,4/8,,SRI LANKA
261,BATTICALOA,13/01/2013,25.4,27.7,23.2,0.0,1012.0 Hpa,354º(N),11,6/8,,SRI LANKA
262,KURUNEGALA,13/01/2013,24.2,28.0,20.5,0.0,1011.1 Hpa,19º(N),6,6/8,,SRI LANKA
263,KANDY,13/01/2013,22.3,26.2,18.4,0.0,1012.0 Hpa,97º(E),5,3/8,,SRI LANKA
264,COLOMBO,13/01/2013,26.2,30.1,22.3,0.0,1010.3 Hpa,36º(NE),9,5/8,,SRI LANKA
265,RATMALANA,13/01/2013,26.4,30.7,22.0,0.0,1010.2 Hpa,33º(NE),13,4/8,,SRI LANKA
266,NUWARA ELIYA,13/01/2013,16.4,21.7,11.2,0.0,1500 m(850 Hpa),281º(W),1,3/8,,SRI LANKA
267,POTTUVIL,13/01/2013,27.5,28.6,26.4,-,1011.8 Hpa,360º(N),10,8/8,,SRI LANKA
268,BANDARAWELA,13/01/2013,17.1,19.2,15.0,0.0,1523 m(850 Hpa),315º(NW),7,8/8,,SRI LANKA
269,BADULLA,13/01/2013,19.6,21.3,17.8,0.0,-,50º(NE),6,8/8,,SRI LANKA
270,RATNAPURA,13/01/2013,27.4,33.6,21.3,0.0,1010.3 Hpa,320º(NW),0,4/8,,SRI LANKA
271,GALLE,13/01/2013,27.6,31.4,23.7,0.0,1010.9 Hpa,166º(S),7,6/8,,SRI LANKA
272,HAMBANTOTA,13/01/2013,26.6,29.7,23.5,0.0,1009.9 Hpa,44º(NE),14,6/8,,SRI LANKA
273,KANKASANTURAI,14/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
274,JAFFNA,14/01/2013,24.5,29.1,19.9,0.0,1013.0 Hpa,-,-,5/8,,SRI LANKA
275,MULLAITTIVU,14/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
276,MANNAR,14/01/2013,25.5,29.1,21.9,0.0,1012.0 Hpa,38º(NE),10,2/8,,SRI LANKA
277,VAVUNIYA,14/01/2013,24.4,29.9,18.8,0.0,1012.3 Hpa,50º(NE),3,2/8,,SRI LANKA
278,TRINCOMALEE,14/01/2013,26.0,28.0,24.0,0.0,-,47º(NE),8,4/8,,SRI LANKA
279,ANURADHAPURA,14/01/2013,24.8,29.5,20.1,0.0,1012.1 Hpa,320º(NW),3,3/8,,SRI LANKA
280,MAHA ILLUPPALLAMA,14/01/2013,24.1,29.5,18.7,0.0,1012.0 Hpa,64º(NE),6,2/8,,SRI LANKA
281,PUTTALAM,14/01/2013,24.4,30.1,18.6,0.0,1011.1 Hpa,50º(NE),1,3/8,,SRI LANKA
282,BATTICALOA,14/01/2013,24.8,28.0,21.6,0.0,1011.7 Hpa,326º(NW),9,5/8,,SRI LANKA
283,KURUNEGALA,14/01/2013,23.7,30.6,16.8,0.0,1010.5 Hpa,15º(N),4,1/8,,SRI LANKA
284,KANDY,14/01/2013,21.8,28.6,15.0,0.0,1011.6 Hpa,113º(SE),2,1/8,,SRI LANKA
285,COLOMBO,14/01/2013,25.9,31.1,20.7,0.0,1010.5 Hpa,24º(NE),5,4/8,,SRI LANKA
286,RATMALANA,14/01/2013,25.9,31.2,20.7,0.0,1010.5 Hpa,31º(NE),9,2/8,,SRI LANKA
287,NUWARA ELIYA,14/01/2013,14.9,21.5,8.3,0.0,1495 m(850 Hpa),90º(E),7,1/8,,SRI LANKA
288,POTTUVIL,14/01/2013,28.6,30.1,27.2,-,1011.5 Hpa,24º(NE),6,4/8,,SRI LANKA
289,BANDARAWELA,14/01/2013,17.5,23.6,11.4,0.0,1521 m(850 Hpa),325º(NW),7,1/8,,SRI LANKA
290,BADULLA,14/01/2013,18.6,24.1,13.1,0.0,-,50º(NE),4,2/8,,SRI LANKA
291,RATNAPURA,14/01/2013,26.6,32.1,21.0,0.0,1010.4 Hpa,355º(N),2,3/8,,SRI LANKA
292,GALLE,14/01/2013,25.8,28.8,22.8,0.0,1011.0 Hpa,50º(NE),6,3/8,,SRI LANKA
293,HAMBANTOTA,14/01/2013,27.1,31.8,22.5,0.0,1010.3 Hpa,42º(NE),16,1/8,,SRI LANKA
294,KANKASANTURAI,15/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
295,JAFFNA,15/01/2013,24.7,29.6,19.8,0.0,1013.5 Hpa,-,-,3/8,,SRI LANKA
296,MULLAITTIVU,15/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
297,MANNAR,15/01/2013,26.4,29.1,23.7,0.0,1012.7 Hpa,50º(NE),15,1/8,,SRI LANKA
298,VAVUNIYA,15/01/2013,24.6,30.0,19.2,0.0,1012.8 Hpa,70º(E),4,2/8,,SRI LANKA
299,TRINCOMALEE,15/01/2013,26.6,29.0,24.3,0.0,-,57º(NE),13,4/8,,SRI LANKA
300,ANURADHAPURA,15/01/2013,25.0,29.7,20.3,0.0,1012.7 Hpa,315º(NW),3,2/8,,SRI LANKA
301,MAHA ILLUPPALLAMA,15/01/2013,24.4,29.6,19.3,0.0,1012.5 Hpa,57º(NE),6,2/8,,SRI LANKA
302,PUTTALAM,15/01/2013,24.9,30.6,19.3,0.0,1011.8 Hpa,43º(NE),3,2/8,,SRI LANKA
303,BATTICALOA,15/01/2013,25.9,28.8,23.0,0.0,1012.4 Hpa,6º(N),9,1/8,,SRI LANKA
304,KURUNEGALA,15/01/2013,25.1,31.3,18.8,0.0,1011.0 Hpa,50º(NE),4,1/8,,SRI LANKA
305,KANDY,15/01/2013,23.1,28.1,18.1,0.0,1012.1 Hpa,105º(E),5,0/8,,SRI LANKA
306,COLOMBO,15/01/2013,27.1,32.0,22.1,0.0,1011.1 Hpa,40º(NE),3,3/8,,SRI LANKA
307,RATMALANA,15/01/2013,26.9,31.7,22.0,0.0,1011.2 Hpa,53º(NE),9,1/8,,SRI LANKA
308,NUWARA ELIYA,15/01/2013,15.2,21.8,8.5,0.0,1501 m(850 Hpa),90º(E),8,0/8,,SRI LANKA
309,POTTUVIL,15/01/2013,26.1,30.3,21.9,-,1011.3 Hpa,23º(NE),4,3/8,,SRI LANKA
310,BANDARAWELA,15/01/2013,17.1,23.1,11.1,0.0,1528 m(850 Hpa),328º(NW),10,1/8,,SRI LANKA
311,BADULLA,15/01/2013,19.9,25.0,14.9,0.0,-,76º(E),3,3/8,,SRI LANKA
312,RATNAPURA,15/01/2013,26.9,33.2,20.7,0.0,1010.9 Hpa,218º(SW),2,2/8,,SRI LANKA
313,GALLE,15/01/2013,25.1,29.0,21.3,0.0,1011.8 Hpa,59º(NE),8,2/8,,SRI LANKA
314,HAMBANTOTA,15/01/2013,26.6,32.6,20.6,0.0,1011.2 Hpa,26º(NE),11,2/8,,SRI LANKA
315,KANKASANTURAI,16/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
316,JAFFNA,16/01/2013,25.2,30.0,20.4,0.0,1014.0 Hpa,-,-,3/8,,SRI LANKA
317,MULLAITTIVU,16/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
318,MANNAR,16/01/2013,26.8,29.6,23.9,0.0,1013.3 Hpa,45º(NE),12,1/8,,SRI LANKA
319,VAVUNIYA,16/01/2013,25.1,30.5,19.6,0.0,1013.4 Hpa,64º(NE),4,2/8,,SRI LANKA
320,TRINCOMALEE,16/01/2013,26.8,29.1,24.4,0.0,-,45º(NE),8,4/8,,SRI LANKA
321,ANURADHAPURA,16/01/2013,25.6,30.3,21.0,0.0,1013.3 Hpa,320º(NW),3,2/8,,SRI LANKA
322,MAHA ILLUPPALLAMA,16/01/2013,25.4,30.0,20.7,0.0,1013.1 Hpa,61º(NE),6,2/8,,SRI LANKA
323,PUTTALAM,16/01/2013,25.6,30.7,20.6,0.0,1012.6 Hpa,50º(NE),3,2/8,,SRI LANKA
324,BATTICALOA,16/01/2013,26.1,29.0,23.2,0.0,1013.0 Hpa,2º(N),8,1/8,,SRI LANKA
325,KURUNEGALA,16/01/2013,25.3,31.3,19.3,0.0,1011.6 Hpa,16º(N),6,0/8,,SRI LANKA
326,KANDY,16/01/2013,23.2,28.0,18.5,0.0,1012.5 Hpa,108º(E),6,0/8,,SRI LANKA
327,COLOMBO,16/01/2013,27.4,32.8,22.0,0.0,1011.4 Hpa,41º(NE),6,1/8,,SRI LANKA
328,RATMALANA,16/01/2013,27.6,33.2,21.9,0.0,1011.5 Hpa,56º(NE),11,1/8,,SRI LANKA
329,NUWARA ELIYA,16/01/2013,15.9,19.9,11.9,0.0,1508 m(850 Hpa),90º(E),12,0/8,,SRI LANKA
330,POTTUVIL,16/01/2013,26.6,30.3,22.8,-,1012.2 Hpa,340º(N),9,3/8,,SRI LANKA
331,BANDARAWELA,16/01/2013,17.4,22.3,12.5,0.0,1541 m(850 Hpa),350º(N),2,2/8,,SRI LANKA
332,BADULLA,16/01/2013,19.8,24.6,14.9,0.0,-,40º(NE),4,2/8,,SRI LANKA
333,RATNAPURA,16/01/2013,26.7,33.4,20.0,0.0,1011.3 Hpa,320º(NW),0,1/8,,SRI LANKA
334,GALLE,16/01/2013,25.6,29.5,21.8,0.0,1012.4 Hpa,319º(NW),10,2/8,,SRI LANKA
335,HAMBANTOTA,16/01/2013,27.4,32.3,22.4,0.0,1011.3 Hpa,17º(N),16,1/8,,SRI LANKA
336,KANKASANTURAI,17/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
337,JAFFNA,17/01/2013,25.2,30.1,20.4,0.0,1014.2 Hpa,-,-,3/8,,SRI LANKA
338,MULLAITTIVU,17/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
339,MANNAR,17/01/2013,26.1,29.2,23.1,0.0,1013.4 Hpa,58º(NE),10,2/8,,SRI LANKA
340,VAVUNIYA,17/01/2013,24.6,30.4,18.8,0.0,1013.8 Hpa,63º(NE),2,1/8,,SRI LANKA
341,TRINCOMALEE,17/01/2013,26.9,29.7,24.2,0.0,-,52º(NE),6,3/8,,SRI LANKA
342,ANURADHAPURA,17/01/2013,25.3,30.6,20.0,0.0,1013.2 Hpa,320º(NW),2,2/8,,SRI LANKA
343,MAHA ILLUPPALLAMA,17/01/2013,24.7,30.1,19.3,0.0,1013.5 Hpa,61º(NE),5,2/8,,SRI LANKA
344,PUTTALAM,17/01/2013,25.2,30.6,19.8,0.0,1012.5 Hpa,44º(NE),3,3/8,,SRI LANKA
345,BATTICALOA,17/01/2013,25.6,28.5,22.7,0.0,1012.9 Hpa,4º(N),9,1/8,,SRI LANKA
346,KURUNEGALA,17/01/2013,24.9,31.0,18.7,0.0,1012.2 Hpa,360º(N),3,1/8,,SRI LANKA
347,KANDY,17/01/2013,22.9,29.8,16.0,0.0,1012.8 Hpa,111º(E),2,1/8,,SRI LANKA
348,COLOMBO,17/01/2013,26.9,31.6,22.3,0.0,1011.8 Hpa,30º(NE),8,1/8,,SRI LANKA
349,RATMALANA,17/01/2013,27.0,32.0,22.0,0.0,1011.9 Hpa,18º(N),10,1/8,,SRI LANKA
350,NUWARA ELIYA,17/01/2013,13.1,21.8,4.3,0.0,1510 m(850 Hpa),90º(E),1,0/8,,SRI LANKA
351,POTTUVIL,17/01/2013,25.9,30.3,21.4,-,1012.7 Hpa,346º(N),7,2/8,,SRI LANKA
352,BANDARAWELA,17/01/2013,17.6,24.1,11.2,0.0,1539 m(850 Hpa),0º(N),4,3/8,,SRI LANKA
353,BADULLA,17/01/2013,19.5,25.2,13.8,0.0,-,70º(E),4,3/8,,SRI LANKA
354,RATNAPURA,17/01/2013,26.4,33.2,19.7,0.0,1011.5 Hpa,295º(NW),2,1/8,,SRI LANKA
355,GALLE,17/01/2013,26.3,30.3,22.3,0.0,1012.8 Hpa,208º(SW),9,2/8,,SRI LANKA
356,HAMBANTOTA,17/01/2013,26.9,32.4,21.4,0.0,1011.5 Hpa,56º(NE),12,2/8,,SRI LANKA
357,KANKASANTURAI,18/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
358,JAFFNA,18/01/2013,24.1,29.2,19.1,0.0,1014.0 Hpa,-,-,4/8,,SRI LANKA
359,MULLAITTIVU,18/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
360,MANNAR,18/01/2013,25.1,28.6,21.5,0.0,1013.5 Hpa,50º(NE),5,1/8,,SRI LANKA
361,VAVUNIYA,18/01/2013,24.3,30.1,18.5,0.0,1014.0 Hpa,59º(NE),6,2/8,,SRI LANKA
362,TRINCOMALEE,18/01/2013,25.5,29.0,22.0,0.0,-,55º(NE),3,5/8,,SRI LANKA
363,ANURADHAPURA,18/01/2013,24.7,30.0,19.4,0.0,1013.7 Hpa,320º(NW),2,2/8,,SRI LANKA
364,MAHA ILLUPPALLAMA,18/01/2013,24.0,29.6,18.4,0.0,1013.5 Hpa,65º(NE),4,2/8,,SRI LANKA
365,PUTTALAM,18/01/2013,25.0,30.5,19.5,0.0,1012.6 Hpa,37º(NE),5,1/8,,SRI LANKA
366,BATTICALOA,18/01/2013,26.9,28.5,25.2,0.0,1013.2 Hpa,348º(N),8,1/8,,SRI LANKA
367,KURUNEGALA,18/01/2013,25.3,30.7,19.9,0.0,1012.4 Hpa,11º(N),4,3/8,,SRI LANKA
368,KANDY,18/01/2013,22.6,28.6,16.6,0.0,1013.2 Hpa,30º(NE),1,1/8,,SRI LANKA
369,COLOMBO,18/01/2013,26.8,30.9,22.6,0.0,1012.2 Hpa,8º(N),7,2/8,,SRI LANKA
370,RATMALANA,18/01/2013,27.0,31.5,22.5,0.0,1012.1 Hpa,7º(N),11,1/8,,SRI LANKA
371,NUWARA ELIYA,18/01/2013,15.2,22.1,8.4,0.0,1509 m(850 Hpa),81º(E),1,2/8,,SRI LANKA
372,POTTUVIL,18/01/2013,25.9,30.1,21.8,-,1012.7 Hpa,346º(N),5,2/8,,SRI LANKA
373,BANDARAWELA,18/01/2013,18.2,23.5,13.0,0.0,1532 m(850 Hpa),246º(SW),7,4/8,,SRI LANKA
374,BADULLA,18/01/2013,21.1,24.9,17.3,0.0,-,68º(E),6,5/8,,SRI LANKA
375,RATNAPURA,18/01/2013,26.4,32.5,20.3,0.0,1011.7 Hpa,254º(W),1,2/8,,SRI LANKA
376,GALLE,18/01/2013,26.4,29.5,23.4,0.0,1012.9 Hpa,250º(W),6,1/8,,SRI LANKA
377,HAMBANTOTA,18/01/2013,27.6,32.3,22.9,0.0,1011.8 Hpa,65º(NE),13,1/8,,SRI LANKA
378,KANKASANTURAI,19/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
379,JAFFNA,19/01/2013,24.6,29.9,19.3,0.4,1013.7 Hpa,-,-,4/8,,SRI LANKA
380,MULLAITTIVU,19/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
381,MANNAR,19/01/2013,25.9,29.1,22.6,0.0,1013.2 Hpa,35º(NE),9,1/8,,SRI LANKA
382,VAVUNIYA,19/01/2013,25.3,31.6,19.0,0.0,1013.4 Hpa,59º(NE),13,0/8,,SRI LANKA
383,TRINCOMALEE,19/01/2013,25.1,28.5,21.7,5.6,-,331º(NW),4,4/8,,SRI LANKA
384,ANURADHAPURA,19/01/2013,25.5,31.5,19.5,0.0,1013.3 Hpa,320º(NW),2,2/8,,SRI LANKA
385,MAHA ILLUPPALLAMA,19/01/2013,24.1,30.4,17.9,0.0,1012.6 Hpa,59º(NE),7,1/8,,SRI LANKA
386,PUTTALAM,19/01/2013,24.2,30.1,18.3,0.0,1012.3 Hpa,20º(N),7,1/8,,SRI LANKA
387,BATTICALOA,19/01/2013,24.8,28.0,21.5,1.2,1012.8 Hpa,348º(N),8,2/8,,SRI LANKA
388,KURUNEGALA,19/01/2013,24.9,31.1,18.8,0.0,1011.6 Hpa,24º(NE),6,0/8,,SRI LANKA
389,KANDY,19/01/2013,23.1,29.6,16.5,0.0,1012.9 Hpa,30º(NE),1,0/8,,SRI LANKA
390,COLOMBO,19/01/2013,27.0,31.8,22.2,0.0,1011.9 Hpa,2º(N),8,0/8,,SRI LANKA
391,RATMALANA,19/01/2013,27.1,32.7,21.5,0.0,1012.0 Hpa,10º(N),9,0/8,,SRI LANKA
392,NUWARA ELIYA,19/01/2013,14.8,22.2,7.4,0.0,1512 m(850 Hpa),101º(E),1,1/8,,SRI LANKA
393,POTTUVIL,19/01/2013,26.1,30.8,21.5,-,1012.3 Hpa,2º(N),7,1/8,,SRI LANKA
394,BANDARAWELA,19/01/2013,18.6,24.5,12.7,0.0,1535 m(850 Hpa),27º(NE),7,3/8,,SRI LANKA
395,BADULLA,19/01/2013,20.5,26.7,14.3,0.0,-,68º(E),4,1/8,,SRI LANKA
396,RATNAPURA,19/01/2013,26.6,33.3,20.0,0.0,1011.6 Hpa,328º(NW),2,1/8,,SRI LANKA
397,GALLE,19/01/2013,26.6,29.8,23.4,0.0,1012.5 Hpa,66º(NE),6,0/8,,SRI LANKA
398,HAMBANTOTA,19/01/2013,26.8,31.5,22.1,0.0,1011.8 Hpa,81º(E),7,0/8,,SRI LANKA
399,KANKASANTURAI,20/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
400,JAFFNA,20/01/2013,24.1,26.8,21.5,5.1,1013.9 Hpa,-,-,8/8,,SRI LANKA
401,MULLAITTIVU,20/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
402,MANNAR,20/01/2013,26.8,28.8,24.8,0.0,1012.7 Hpa,26º(NE),8,3/8,,SRI LANKA
403,VAVUNIYA,20/01/2013,25.8,30.8,20.8,0.0,1013.1 Hpa,38º(NE),3,3/8,,SRI LANKA
404,TRINCOMALEE,20/01/2013,26.1,28.5,23.8,1.5,-,14º(N),4,7/8,,SRI LANKA
405,ANURADHAPURA,20/01/2013,26.2,31.3,21.2,0.0,1012.8 Hpa,320º(NW),1,5/8,,SRI LANKA
406,MAHA ILLUPPALLAMA,20/01/2013,25.6,30.7,20.6,0.0,1012.6 Hpa,54º(NE),9,5/8,,SRI LANKA
407,PUTTALAM,20/01/2013,25.1,29.6,20.7,0.0,1012.1 Hpa,4º(N),6,2/8,,SRI LANKA
408,BATTICALOA,20/01/2013,25.3,27.0,23.6,28.1,1012.7 Hpa,-,0,7/8,,SRI LANKA
409,KURUNEGALA,20/01/2013,26.6,32.4,20.8,0.0,1011.4 Hpa,17º(N),4,2/8,,SRI LANKA
410,KANDY,20/01/2013,23.6,30.1,17.2,6.8,1012.4 Hpa,42º(NE),1,2/8,,SRI LANKA
411,COLOMBO,20/01/2013,26.9,30.8,22.9,0.0,1011.7 Hpa,24º(NE),5,3/8,,SRI LANKA
412,RATMALANA,20/01/2013,26.9,31.0,22.8,0.0,1011.5 Hpa,5º(N),9,2/8,,SRI LANKA
413,NUWARA ELIYA,20/01/2013,15.2,21.7,8.7,0.0,1509 m(850 Hpa),90º(E),2,4/8,,SRI LANKA
414,POTTUVIL,20/01/2013,28.1,29.3,26.8,-,1012.5 Hpa,360º(N),7,7/8,,SRI LANKA
415,BANDARAWELA,20/01/2013,18.6,24.5,12.6,1.7,1534 m(850 Hpa),312º(NW),8,5/8,,SRI LANKA
416,BADULLA,20/01/2013,22.1,26.9,17.2,0.0,-,71º(E),4,5/8,,SRI LANKA
417,RATNAPURA,20/01/2013,28.1,34.2,22.1,Tr,1011.4 Hpa,360º(N),4,4/8,,SRI LANKA
418,GALLE,20/01/2013,27.1,30.4,23.9,0.0,1012.5 Hpa,9º(N),6,3/8,,SRI LANKA
419,HAMBANTOTA,20/01/2013,27.5,32.3,22.7,0.0,1011.4 Hpa,49º(NE),8,2/8,,SRI LANKA
420,KANKASANTURAI,21/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
421,JAFFNA,21/01/2013,25.8,29.9,21.7,0.0,1014.2 Hpa,-,-,5/8,,SRI LANKA
422,MULLAITTIVU,21/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
423,MANNAR,21/01/2013,28.6,32.3,24.8,0.0,1013.7 Hpa,46º(NE),9,1/8,,SRI LANKA
424,VAVUNIYA,21/01/2013,26.8,31.1,22.4,0.0,1013.9 Hpa,50º(NE),5,1/8,,SRI LANKA
425,TRINCOMALEE,21/01/2013,26.6,29.1,24.0,0.0,-,21º(N),5,5/8,,SRI LANKA
426,ANURADHAPURA,21/01/2013,27.1,30.6,23.5,0.0,1013.6 Hpa,320º(NW),2,2/8,,SRI LANKA
427,MAHA ILLUPPALLAMA,21/01/2013,26.2,30.4,22.1,0.0,1013.2 Hpa,59º(NE),11,3/8,,SRI LANKA
428,PUTTALAM,21/01/2013,27.0,31.6,22.4,0.0,1012.5 Hpa,40º(NE),5,3/8,,SRI LANKA
429,BATTICALOA,21/01/2013,26.4,28.5,24.2,0.0,1013.2 Hpa,355º(N),7,5/8,,SRI LANKA
430,KURUNEGALA,21/01/2013,26.6,31.7,21.5,0.0,1012.0 Hpa,23º(NE),6,1/8,,SRI LANKA
431,KANDY,21/01/2013,24.2,29.1,19.3,0.0,1012.9 Hpa,106º(E),3,1/8,,SRI LANKA
432,COLOMBO,21/01/2013,28.9,33.2,24.5,0.0,1011.8 Hpa,25º(NE),11,3/8,,SRI LANKA
433,RATMALANA,21/01/2013,29.3,33.9,24.7,0.0,1011.8 Hpa,14º(N),15,2/8,,SRI LANKA
434,NUWARA ELIYA,21/01/2013,15.4,21.0,9.8,0.0,1513 m(850 Hpa),90º(E),2,3/8,,SRI LANKA
435,POTTUVIL,21/01/2013,29.3,30.6,28.0,-,1012.4 Hpa,50º(NE),7,7/8,,SRI LANKA
436,BANDARAWELA,21/01/2013,18.8,21.6,16.0,Tr,1541 m(850 Hpa),324º(NW),10,6/8,,SRI LANKA
437,BADULLA,21/01/2013,21.5,24.4,18.6,Tr,-,47º(NE),5,6/8,,SRI LANKA
438,RATNAPURA,21/01/2013,28.6,34.5,22.7,0.0,1011.5 Hpa,338º(N),3,2/8,,SRI LANKA
439,GALLE,21/01/2013,26.6,30.2,23.1,0.0,1012.5 Hpa,284º(W),9,3/8,,SRI LANKA
440,HAMBANTOTA,21/01/2013,29.1,34.2,24.1,0.0,1011.2 Hpa,44º(NE),14,1/8,,SRI LANKA
441,KANKASANTURAI,22/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
442,JAFFNA,22/01/2013,24.9,29.7,20.1,0.0,1014.2 Hpa,-,-,5/8,,SRI LANKA
443,MULLAITTIVU,22/01/2013,-,- ,- ,-,-,-,-,-,,SRI LANKA
444,MANNAR,22/01/2013,26.8,29.2,24.4,0.0,1013.5 Hpa,37º(NE),12,1/8,,SRI LANKA
445,VAVUNIYA,22/01/2013,24.6,30.1,19.2,Tr,1013.7 Hpa,50º(NE),3,3/8,,SRI LANKA
446,TRINCOMALEE,22/01/2013,26.4,28.8,24.0,0.0,1011.3 Hpa,28º(NE),7,5/8,,SRI LANKA
447,ANURADHAPURA,22/01/2013,25.8,30.5,21.0,0.1,1013.2 Hpa,320º(NW),4,4/8,,SRI LANKA
448,MAHA ILLUPPALLAMA,22/01/2013,24.6,30.2,18.9,0.0,1013.2 Hpa,53º(NE),9,2/8,,SRI LANKA
449,PUTTALAM,22/01/2013,25.0,31.0,19.0,0.0,1012.5 Hpa,28º(NE),5,2/8,,SRI LANKA
450,BATTICALOA,22/01/2013,27.0,28.5,25.5,62.3,1012.8 Hpa,340º(N),9,4/8,,SRI LANKA
451,KURUNEGALA,22/01/2013,25.9,31.5,20.4,0.0,1011.8 Hpa,356º(N),6,0/8,,SRI LANKA
