LOCATION_ID,LATITUDE,LONGITUDE
27654,6.8679389424,80.057256928
27763,6.8679389424,81.036416136
27764,6.8679389424,81.045399248
27796,6.8679389424,81.332858832
27797,6.8679389424,81.341841944
27883,6.8769220544,79.859628464
27884,6.8769220544,79.868611576
27885,6.8769220544,79.877594688
27886,6.8769220544,79.8865778
27887,6.8769220544,79.895560912
27888,6.8769220544,79.904544024
27889,6.8769220544,79.913527136
27890,6.8769220544,79.922510248
27891,6.8769220544,79.93149336
27892,6.8769220544,79.940476472
27894,6.8769220544,79.958442696
27895,6.8769220544,79.967425808
27897,6.8769220544,79.985392032
27902,6.8769220544,80.030307592
27908,6.8769220544,80.084206264
27911,6.8769220544,80.1111556
27930,6.8769220544,80.281834728
27971,6.8769220544,80.65014232
28004,6.8769220544,80.946585016
28015,6.8769220544,81.045399248
28049,6.8769220544,81.350825056
